created,text
2021-12-02 12:22:51,RT @robinrome: Earthquake in Paris. Pope Francis has accepted the resignation of Archbishop Michel Aupetit. The 70-year-old prelate has bee…
2021-12-02 12:21:58,"RT @JohnPiper: “Do not fear what you are about to suffer. Behold, the devil is about to throw some of you into prison, that you may be test…"
2021-12-02 12:21:57,Update Info Earthquake 0.91 km of Fuencaliente de la Palma (Spain) - 3.50ml/26km - 02/12/2021 12:21:57 UTC (IGN/Upd… https://t.co/hb0APB6OTb
2021-12-02 12:21:35,@OkStrayCat he is the earthquake arent him? 😔😔😔
2021-12-02 12:21:17,New Earthquake 0.37 km of Fuencaliente de la Palma (Spain) - 3.50ML/26km - 02/12/2021 12:21:17 UTC (EMSC/Automatic)… https://t.co/GGsqvOoMmj
2021-12-02 12:21:03,@lyzaaaaa__ Like an earthquake 😔😔😔
2021-12-02 12:20:55,"RT @sherlock_moles: $XQK @officialXQK TA/Fundamental Analysis (1/4)
Preface: $XQK is a charity coin made to streamline the process of donat…"
2021-12-02 12:20:55,"RT @phivolcs_dost: #EarthquakePH #EarthquakeZamboangaDelNorte
Earthquake Information No.1
Date and Time: 02 Dec 2021 - 08:06 PM
Magnitude =…"
2021-12-02 12:20:46,"@stellerarts @funfactscience Seriously, we are just waiting for 4 guys on horses to rock up, we have had fire, plag… https://t.co/klCXCh8Ojc"
2021-12-02 12:20:42,"#Earthquake M3.5 CANARY ISLANDS, SPAIN REGION 3mins ago  2 Dec 12:17 UTC - report/info: 
https://t.co/zaGu65L9OT"
2021-12-02 12:20:38,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:20:12,"The Chicago fire and
San Francisco Earthquake of  2021 https://t.co/ayqyGVKa5o"
2021-12-02 12:20:01,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:19:57,"RT @Kiss100kenya: Tell us your best ""What Do You Call..."" joke!😁😁

Here is @catesidede ‘s 😄😄:
What do you call a cow during an earthquake ?…"
2021-12-02 12:19:56,"RT @johnnys: Following its Nagoya premiere in October, actor Yoshitaka Hara's starring turn in ""Ten-Goku"" (Heaven) at last comes to Tokyo!…"
2021-12-02 12:19:40,"#EarthquakePH #EarthquakeZamboangaDelNorte
Earthquake Information No.1
Date and Time: 02 Dec 2021 - 08:06 PM
Magnit… https://t.co/rLCG5AFNNQ"
2021-12-02 12:19:25,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:19:22,@Rasyidinneedyou Ade earthquake ke mula2 tu? 😂
2021-12-02 12:19:22,New Earthquake 0.37 km of Fuencaliente de la Palma (Spain) - 3.50ml/26km - 02/12/2021 12:19:21 UTC (IGN/Automatic)… https://t.co/YNRC6fD4s2
2021-12-02 12:19:01,@sitrucyrneh @AliceAvizandum @ornythos knowing which english word u shld use or u will sound ridiculous and which e… https://t.co/wR7guMI2HW
